WORD,MEANING
kindle,[MEANING 1]vt.点燃: to build or fuel (a fire); to set fire to; ignite
kindred,"[MEANING 1]adj.类似的；具有相似或相SYNONYMS的起源，本性或性质的: having a similar or related origin, nature, or character"
knack,[MEANING 1]n.诀窍，聪明的做法: a clever trick or stratagem; a clever way of doing something
knead,"[MEANING 1]vt.揉捏，塑造: to make or shape by or as if by folding, pressing, and stretching with the hands"
knit,"[MEANING 1]vt.编织(纱线): to form by interlacing yarn or thread in a series of connected loops with needles
[MEANING 2]vt.连接，联系: to join closely; unite securely"
knotty,[MEANING 1]adj.多结的，复杂的，困难的: marked by or full of knots especially: so full of difficulties and complications as to be likely to defy solution
kudos,"[MEANING 1]n.名望，名声: fame and renown resulting from an act or achievement
[MEANING 2]n.夸奖，赞扬: acclaim or praise for exceptional achievement"
labile,"[MEANING 1]adj.易变的，不稳定的: continually undergoing chemical, physical, or biological change; unstable"
laborious,"[MEANING 1]adj.勤奋的: hard-working; industrious
[MEANING 2]adj.费力的: marked by or requiring long, hard work"
labyrinthine,"[MEANING 1]adj.迷宫似的，复杂曲折的: of, relating to, resembling, or constituting a labyrinth; extremely complex or tortuous in structure"
lacerate,[MEANING 1]vt.使非常痛苦: to cause deep emotional pain to; distress
lackluster,"[MEANING 1]adj.黯淡无光泽的: lacking brightness, luster, or vitality"
laconic,[MEANING 1]adj.简洁(以至于显得粗鲁或难以理解)的: using or involving the use of a minimum of words: concise to the point of seeming rude or mysterious
lachrymose,"[MEANING 1]adj.催人泪下的，悲伤的: tending to cause tears, mournful"
lambaste,[MEANING 1]vt.严厉斥责: to scold sharply; berate
lament,"[MEANING 1]n.悼词: a composition expressing one's grief over a loss
[MEANING 2]n.抱怨: an expression of dissatisfaction, pain, or resentment
[MEANING 3]vi.哀悼，表达痛苦或遗憾: to express sorrow or regret; mourn"
lamentable,[MEANING 1]adj.值得惋惜的，悲哀的: inspiring or deserving of lament or regret; deplorable or pitiable; mournful
lampoon,[MEANING 1]n. 讽刺: a harsh satire usually directed against an individual
languid,[MEANING 1]adj.没精打采的，虚弱的: lacking energy or vitality; weak
languish,"[MEANING 1]vi.变得衰弱: to be or become feeble, weak, or enervated"
languor,"[MEANING 1]n.懒惰: physical or mental inertness
[MEANING 2]n.衰弱: weakness or weariness of body or mind"
lank,"[MEANING 1]adj.细长痩弱的: long, straight, and limp; not stiff in structure
[MEANING 2]adj.不僵硬的，柔软松弛的: not stiff in structure"
lapse,"[MEANING 1]n.小过失: a slight error typically due to forgetfulness or inattention
[MEANING 2]v.结束，终止: to come to an end"
largesse,"[MEANING 1]n.捐赠物: something given to someone without expectation of a return
[MEANING 2]n.慷慨: liberality in giving or willingness to give"
lash,"[MEANING 1]n.击打: a hard strike with a part of the body or an instrument
[MEANING 2]v.猛击，撞击: to strike against with force or violence
[MEANING 3]vt.捆扎: to bind with or as if with a line"
lassitude,"[MEANING 1]n.乏力，没精打采: a state or feeling of weariness, diminished energy, or listlessness"
latent,[MEANING 1]adj.潜在的，不活跃的: present or potential but not evident or active
latitude,"[MEANING 1]n.(行动或言论)自由: freedom from normal restraints, limitations, or regulations"
laudatory,"[MEANING 1]adj.表示赞扬的: of, relating to, or expressing praise"
lavish,"[MEANING 1]adj.奢侈的，大量的: characterized by or produced with extravagance and profusion
[MEANING 2]v.挥霍，浪费: to give readily and in large quantities; to use up carelessly"
leaven,"[MEANING 1]vt.用轻松、活泼或变更的影响力来充斥: to mingle or permeate with some modifying, alleviating, or vivifying element"
leer,[MEANING 1]vi. 一瞥，斜眼看: to cast a sidelong glance
leery,[MEANING 1]adj.怀疑的，不信任的: suspicious or distrustful; wary
legacy,[MEANING 1]n.遗产: something handed down from an ancestor or a predecessor or from the past
legend,"[MEANING 1]n.传奇，传说: a popular myth of recent origin
[MEANING 2]n.图EXAMPLE: an explanatory list of the symbols on a map or chart"
legion,"[MEANING 1]n.大量的人，(尤指)军团: a large body of men and women organized for land warfare
[MEANING 2]adj.大量的: many, numerous"
lenient,"[MEANING 1]adj.宽大仁慈的: inclined not to be harsh or strict; merciful, generous, or indulgent"
lethal,[MEANING 1]adj.非常有害的，致命的: extremely harmful; devastating
lethargic,"[MEANING 1]adj.没精打采的，行动迟缓的: of, relating to, or characterized by lethargy, sluggish"
levelheaded,[MEANING 1]adj.明智的: characteristically self-composed and sensible
levity,[MEANING 1]n.轻浮: excessive or unseemly frivolity
liability,"[MEANING 1]n.责任: the quality or state of being liable
[MEANING 2]n.障碍，不利条件: a feature of someone or something that creates difficulty for achieving success"
liberal,"[MEANING 1]adj.思想前卫的: not bound by traditional ways or beliefs
[MEANING 2]adj.慷慨的，大方的: marked by generosity"
libertine,[MEANING 1]n.放荡不羁者: one who acts without moral restraint; a dissolute person
licentious,[MEANING 1]adj.放荡的，性欲强的: lacking legal or moral restraints ； having a strong sexual desire
liken,"[MEANING 1]vt.显示相似，比较: to see, mention, or show as similar; compare"
limber,[MEANING 1]adj.可塑的，柔软的: capable of being shaped: flexible
limp,"[MEANING 1]adj.柔软的，松散的: lacking firm texture, substance, or structure
[MEANING 2]adj.软弱的，、没有精神的: lacking strength or firmness; weak or spiritless
[MEANING 3]vi.跛行，艰难地行走: to move or proceed haltingly or unsteadily"
limpid,"[MEANING 1]adj.透明清澈的: characterized by transparent clearness
[MEANING 2]adj.镇定的，淡定的: free from emotional or mental agitation"
linger,[MEANING 1]vi.磨蹭，闲荡: to proceed slowly; saunter
lissome,"[MEANING 1]adj.柔软的: easily bent; supple
[MEANING 2]adj.敏捷的，轻盈的: having the ability to move with ease; limber"
list,[MEANING 1]v.倾斜: to set or cause to be at an angle
lithe,"[MEANING 1]adj.敏捷的，轻盈的: characterized by easy flexibility and grace
[MEANING 2]adj.柔软的: easily bent or flexed"
loath,[MEANING 1]adj.不情愿的，讨厌的: unwilling or reluctant; disinclined
loathe,[MEANING 1]vt.厌恶: to dislike someone or something greatly; abhor
lofty,"[MEANING 1]adj.崇高的: elevated in character and spirit, noble
[MEANING 2]adj.高的: rising to a great height
[MEANING 3]adj.自大的: having a feeling of superiority that shows itself in an overbearing attitude"
loll,"[MEANING 1]vi.懒洋洋地行动: to act or move in a lax, lazy, or indolent manner
[MEANING 2]vi.偷懒，打发时间: to spend time doing nothing"
lopsided,"[MEANING 1]adj.歪的，倾斜的: leaning to one side
[MEANING 2]adj.不平衡的，不协调的: lacking in balance, symmetry, or proportion"
loquacious,[MEANING 1]adj.话多的: given to fluent or excessive talk
loutish,"[MEANING 1]adj.粗鲁的: having the characteristics of a lout; awkward, stupid, and boorish"
lubricate,[MEANING 1]vt.使润滑: to coat (something) with a slippery substance in order to reduce friction
lucid,"[MEANING 1]adj.有光亮的: suffused with light
[MEANING 2]adj.神志清醒的: having full use of one's mind and control over one's actions
[MEANING 3]adj.表达清晰的，简单易懂的: easily understood"
lug,"[MEANING 1]vt.拖动，拉动: to cause to follow by applying steady force on
[MEANING 2]vt.费力搬运: to carry laboriously"
lugubrious,"[MEANING 1]adj.(故作夸张的)悲哀的: mournful, dismal, or gloomy, especially to an exaggerated or ludicrous degree"
lull,"[MEANING 1]n.相对平静时期，间隙: a momentary halt in an activity
[MEANING 2]vt.使镇静，使安心: to free from distress or disturbance"
lullaby,"[MEANING 1]n.催眠曲: a song to quiet children or lull them to sleep
[MEANING 2]vt.使镇静，使安心: to free from distress or disturbance"
lumber,"[MEANING 1]n.木材: tree logs as prepared for human use
[MEANING 2]vi.笨拙地行动: to walk or move with heavy clumsiness
[MEANING 3]vi.使负担(从而拖累): to place a weight or burden on"
luminary,[MEANING 1]n.杰出人物: a person who has achieved eminence in a specific field
lurch,[MEANING 1]v.蹒跚: to move forward while swaying from side to side
lurk,[MEANING 1]vi.潜伏: to lie in wait in a place of concealment especially for an evil purpose
lush,"[MEANING 1]adj.茂盛的: growing vigorously especially with luxuriant foliage
[MEANING 2]adj.多产的: producing abundantly
[MEANING 3]adj.(声音、味道)优美的，令人愉悦的: appealing to the senses"
lustrous,[MEANING 1]adj.有光泽的: having a shiny surface or finish
luxurious,"[MEANING 1]adj.豪华的: showing obvious signs of wealth and comfort
[MEANING 2]adj.奢侈的: given to or marked by excessive gratification of one's desires"
lyric,"[MEANING 1]n.(可以哼唱的)小曲: a short musical composition for the human voice often with instrumental accompaniment
[MEANING 2]adj.如诗歌般流畅甜美的: having a pleasantly flowing quality suggestive of poetry or music"
macabre,[MEANING 1]adj.恐怖的: suggesting the horror of death and decay; gruesome
macerate,[MEANING 1]vt.浸泡(以软化): to make soft by soaking or steeping in a liquid
maculate,"[MEANING 1]v.使有斑点，弄脏: to seot, blemish"
maelstrom,"[MEANING 1]n.漩涡: a powerful often violent whirlpool sucking in objects within a given radius
[MEANING 2]n.混乱、动荡的局势: a violent or turbulent situation"
magnificent,[MEANING 1]adj.壮丽的: strikingly beautiful or impressive
maladroit,[MEANING 1]adj.笨拙的: lacking or showing a lack of nimbleness in using one's hands
malaise,"[MEANING 1]n.不舒服: a vague feeling of bodily discomfort, as at the beginning of an illness"
malcontent,"[MEANING 1]n.不满分子: one who is in active opposition to an established order or government
[MEANING 2]adj.不满的: dissatisfied with the existing state of affairs"
malicious,"[MEANING 1]adj.恶意的: given to, marked by, or arising from malice; deliberately harmful"
malign,"[MEANING 1]adj.恶意的: having or showing a desire to cause someone pain or suffering for the sheer enjoyment of it
[MEANING 2]vt. 诽谤: to utter iniuriouslv misleading or false reports about: speak evil of"
malinger,[MEANING]vi.装病以逃避工作: to pretend or exaggerate incapacity or illness (as to avoid duty or work)
malleable,"[MEANING 1]adj.可塑的: capable of being extended or shaped by beating with a hammer or by the pressure of rollers
[MEANING 2]adj.易控制的: capable of being altered or controlled by outside forces or influences"
malodorous,[MEANING 1]adj.恶臭的: having an unpleasant smell
mandatory,[MEANING 1]adj.强制的: forcing one's compliance or participation
mangle,"[MEANING 1]vt.损毁，使伤残: to injure with deep disfiguring wounds by cutting, tearing, or crushing
[MEANING 2]vt.弄砸: to ruin or spoil through ineptitude or ignorance"
mangy,[MEANING 1]adj.卑劣的: mean; contemptible
mania,"[MEANING 1]n.热衷，狂热: an excessively intense enthusiasm, interest, or desire; a craze"
manifest,"[MEANING 1]adj.显然的，明显易懂的: clearly apparent to the sight or understanding; obvious
[MEANING 2]v.显现，显露: to make evident or certain by showing or displaying"
manipulate,"[MEANING 1]vt.巧妙操作: to move, arrange, operate, or control by the hands or by mechanical means, especially in a skillful manner
[MEANING 2]vt.暗中操控: to influence or manage shrewdly or deviously"
mannered,[MEANING 1]adj.不自然的，做作的: having an artificial or stilted character
manumit,[MEANING 1]v.解放(奴隶): to release from slavery or bondage
manuscript,"[MEANING 1]n.手稿: a book, document, or other composition written by hand"
mar,"[MEANING 1]n.污点，坏点: something that spoils the appearance or completeness of a thing
[MEANING 2]vt.破坏，削弱: to impair the soundness, perfection, or integrity of; spoil"
marsh,"[MEANING 1]n.沼泽，湿地: an area of soft, wet, low-lying land"
martinet,[MEANING 1]n.纪律严明之人: a strict disciplinarian
marvel,"[MEANING 1]n.令人惊奇的事物: one that evokes surprise, admiration, or wonder
[MEANING 2]v.(因为壮观、美丽等而)表示惊讶: to feel amazement or bewilderment at or about"
masquerade,"[MEANING 1]n.面具，伪装: a display of emotion or behavior that is insincere or intended to deceive
[MEANING 2]v.伪装，掩饰: to disguise oneself"
mash,[MEANING 1]v.捣碎: to cause to become a pulpy mass
mastery,[MEANING 1]n.技艺超群，精通: possession or display of great skill or technique
matriculate,"[MEANING 1]vt.入学，录取: to admit or be admitted into a group, especially a college or university."
maudlin,[MEANING 1]adj.过于感伤的: effusively or tearfully sentimental
maven,[MEANING 1]n.专家: one who is experienced or knowledgeable: expert
maverick,"[MEANING 1]n.特立独行之人: a person who does not conform to generally accepted standards or customs
[MEANING 2]adj.标新立异的，不合常规的: deviating from commonly accepted beliefs or practices"
mawkish,[MEANING 1]adj.过度伤感的: excessively and objectionably sentimental
meager,"[MEANING 1]adj.贫乏的: deficient in quantity, fullness, or extent; scanty"
mean,"[MEANING 1]adj.卑贱的: ignoble; base
[MEANING 2]adj.吝啬的: giving or sharing as little as possible
[MEANING 3]v.打算，怀有目的: to have in mind as a purpose or goal
[MEANING 4]v.意味着: to serve or intend to convey, show, or indicate"
meander,[MEANING 1]vi.闲逛，漫步: to move aimlessly and idlv without fixed direction
measly,[MEANING 1]adj.少得可怜的，微不足道的: so small or unimportant as to warrant little or no attention
measured,"[MEANING 1]adj.深思熟虑的，审慎的: deliberated, calculated"
meddle,[MEANING 1]vi.干涉，管闲事: to intrude into other people's affairs or business; interfere
mediate,"[MEANING 1]vt.调解，调停: to intervene between two or more disputants in order to bring about an agreement, a settlement, or a compromise"
mediocre,[MEANING 1]adj.平庸的，质量中等偏下的: moderate to inferior in quality; ordinary
medley,[MEANING 1]adj.大杂烩，混合物: an unorganized collection or mixture of various things
meek,"[MEANING 1]adj.谦恭的: showing patience and humility; gentle
[MEANING 2]adj.顺从的: easily imposed on; submissive"
meet,"[MEANING 1]adj.合适的: precisely adapted to a particular situation, need, or circumstance: very proper"
mellifluous,[MEANING 1]adj.(曲调)优美的: smooth and sweet
melodramatic,[MEANING 1]adj.感情夸张的，伤感的: exaggeratedly emotional or sentimental; histrionic
menace,[MEANING 1]vt.威胁，使处于危险: to make a show of intention to harm; to place in danger
mendacious,[MEANING 1]adj.撒谎的，虚假的: telling or containing lies
mentor,"[MEANING 1]n.导师: a trusted counselor or guide
[MEANING 2]vt.教导，指导: to give advice and instruction regarding the course or process to be followed"
mercenary,"[MEANING 1]n.雇佣军: a professional soldier hired for service in a foreign army
[MEANING 2]adj.唯利是图的，贪婪的: motivated solely by a desire for monetary or material gain"
mercurial,[MEANING 1]adj.(情绪)善变的: characterized by rapid and unpredictable changeableness of mood
merited,[MEANING 1]adj.应得的，理所当然的: being what is called for by accepted standards of right and wrong
mesh,[MEANING 1]v.诱捕: to catch or hold as if in a net
mesmeric,"[MEANING 1]adj.催眠的，催眠术的: of, relating to, or induced by mesmerism
[MEANING 2]adj.令人着迷的，难以抗拒的: attracting and holding interest as if by a spell"
metamorphose,[MEANING 1]vt.变形: to change into a different physical form especially by supernatural means
metaphysical,"[MEANING 1]adj.哲学上的，理论上的: dealing with or expressing a quality or idea
[MEANING 2]adj.非尘世的: of, relating to, or being part of a reality beyond the observable physical universe"
meteoric,"[MEANING 1]adj.流星般迅速而短暂的: similar to a meteor in speed, brilliance, or brevity"
methodical,"[MEANING 1]adj.井然有序的，有条理的: arranged or proceeding in regular, systematic order"
meticulous,[MEANING 1]adj.极为谨慎的: marked by extreme or excessive care in the consideration or treatment of details
mettle,"[MEANING 1]n.勇气: vigor and strength of spirit or temperament
[MEANING 2]n.毅力，耐力: staying quality: stamina"
miff,[MEANING 1]vt.使恼怒: to cause to become offended or annoyed
migratory,[MEANING 1]adj.迀移的: having a way of life that involves moving from one region to another typically on a seasonal basis
milk,[MEANING 1]vt.榨取(财富、信息等): to draw or coerce profit or advantage from illicitly or to an extreme degree
mime,"[MEANING 1]v.模仿: to use (someone or something) as the model for one's speech, mannerisms, or behavior"
mimic,"[MEANING 1]adj.仿真的，仿造的: being such in appearance only and made with or manufactured from usually cheaper materia
[MEANING 2]v.做滑稽的模仿(以取笑): to copy or exaggerate (someone or something) in order to make fun of
[MEANING 3]v.模仿: to use (someone or something) as the model for one's speech, mannerisms, or behavior"
minatory,[MEANING 1]adj.带来威胁的，有凶兆的: being or showing a sign of evil or calamity to come
mince,"[MEANING 1]vt.切碎: to cut or chop into very small pieces
[MEANING 2]vi.小步走: to walk with very short steps or with exaggerated primness"
mingle,"[MEANING 1]vi.参加社交活动: to take part in social activities
[MEANING 2]vt.混 合，结合: to mix so that the components become united"
minimize,"[MEANING 1]vt.将...减至最少: to reduce to the smallest possible amount, extent, size, or degree
[MEANING 2]vt.刻意低估: to underestimate intentionally
[MEANING 3]vt.表示鄙夷: to express scornfully one's low opinion of"
mint,"[MEANING 1]n.巨额: an abundant amount, especially of money
[MEANING 2]adj.崭新的，无损坏的: unmarred as if fresh from a mint"
miniscule,[MEANING 1]adj.极小的: very small
minute,"[MEANING 1]adj.仔细的，谨小慎微的: characterized by careful scrutiny and close examination
[MEANING 2]adj.小的，不重要的: very small or of small importance"
minutia,[MEANING 1]n.次要的细节，小事: a minute or minor detail
mirage,[MEANING 1]n.海市蜃楼，幻想: something illusory and unattainable like a mirage
mire,"[MEANING 1]n.困境: a difficult, puzzling, or embarrassing situation from which there is no easy escape
[MEANING 2]vt.使陷入困境，拖后腿: to hamper or hold back as if by mire"
mirth,[MEANING 1]n.欢乐，欢笑: gladness or gaiety as shown by or accompanied with laughter
misanthropic,[MEANING 1]adj.ANTONYM人类的: having or showing a deep distrust of human beings and their motives
misbehaving,[MEANING]adj.调皮的，行为不端的: engaging in or marked by childish misbehavior
mischievous,"[MEANING 1]adj.调皮的，嬉闹的: playful in a naughty or teasing way
[MEANING 2]adj.有害的: causing harm or trouble"
misconstrue,[MEANING 1]vt.误解，曲解: to mistake the meaning of
miscreant,[MEANING 1]n.恶棍，罪犯: one who behaves criminally or viciously
misdemeanor,[MEANING 1]n.轻罪: a crime less serious than a felony
miserly,[MEANING 1]adj.吝啬的: marked by grasping meanness and penuriousness
misfortune,[MEANING 1]n.不幸: bad fortune or ill luck
misgiving,[MEANING 1]n.担忧，疑虑: a feeling of doubt or suspicion especially concerning a future event
mishap,[MEANING 1]n.不幸之事: an unfortunate accident
misrepresent,[MEANING 1]vt.误传，篡改: to give an incorrect or misleading representation of
mite,"[MEANING 1]n.微小的东西，很少的钱: a very small object, creature, or particle, a very small sum of money"
mitigate,[MEANING 1]vt.减轻痛苦，使缓和: to make less severe or painful
mobile,"[MEANING 1]adj.可移动的: capable of moving or being moved
[MEANING 2]adj.可变的: changeable in appearance, mood, or purpose"
mockery,"[MEANING 1]n.鄙视，嘲弄: scornfully contemptuous ridicule
[MEANING 2]n.以嘲笑为目的的模仿: a false, derisive, or impudent imitation"
moderate,"[MEANING 1]vt.使缓和: to lessen the intensity or extremeness of
[MEANING 2]adj.适度的，中庸的: being within reasonable limits; not excessive or extreme"
modicum,[MEANING 1]n.少量: a small portion; a limited quantity
mollify,[MEANING 1]vt.平息抚慰，缓和: to calm in temper or feeling
mollycoddle,[MEANING 1]vt.溺爱: to treat with an excessive or absurd degree of indulgence and attention
molt,"[MEANING 1]vi.脱(羽、皮等): to shed hair, feathers, shell, horns, or an outer layer periodically"
momentous,[MEANING 1]adj.极重要的: of utmost importance; of outstanding significance or consequence
momentum,[MEANING 1]n.动力: impetus of a physical object in motion
mongrel,[MEANING 1]adj.杂种的，混血儿的: of mixed origin or character
monochromatic,"[MEANING 1]adj.单色的: having or consisting of one color or hue
[MEANING 2]adj.单调无聊的: lacking variety, creativity, or excitement"
monologue,[MEANING 1]n.独白: a dramatic sketch performed by one actor
monotonous,"[MEANING 1]adj.(声音)单调的: uttered or sounded in one unvarying tone
[MEANING 2]adj.清一色的，无聊的: tediously uniform or unvarying"
montage,[MEANING 1]n.大杂烩: an unorganized collection or mixture of various things
moratorium,[MEANING 1]n.延期，暂缓施行: a suspension of activity
morbid,"[MEANING 1]adj.病态的: affected with or induced by disease
[MEANING 2]adj.（思想、性格等）变态的: characterized by preoccupation with unwholesome thoughts or feelings"
mordant,"[MEANING 1]adj.尖酸刻薄的: biting and caustic in thought, manner, or style"
moribund,"[MEANING 1]adj.即将结束的，垂死的: approaching death; about to die
[MEANING 2]adj.即将过时的: on the verge of becoming obsolete"
morose,[MEANING 1]adj.忧郁的: having a sullen and gloomy disposition
mosaic,[MEANING 1]n.综合物，马赛克般的东西: an unorganized collection or mixture of various things
mosque,[MEANING 1]n.清真寺: a building used for public worship by Muslim
moth-eaten,[MEANING 1]adj.过时的: having passed its time of use or usefulness
motile,[MEANING 1]adj.能动的: exhibiting or capable of movement
motivate,[MEANING 1]vt.刺激，激发: to provide with an incentive; move to action
motley,[MEANING 1]adj.混杂的，富于变化的: (especially of colors) having elements of great variety or incongruity
mottle,[MEANING 1]vt.标记上杂色斑点: to mark with spots or blotches of different shades or colors
motto,[MEANING 1]n.座右铭: a short expression of a guiding principle
mournful,[MEANING 1]adj.悲伤的: feeling or expressing sorrow or grief
movement,[MEANING 1]n.运动: the act or process of moving
muddy,"[MEANING 1]adj.不干净的: not clean
[MEANING 2]adj.浑浊的，不清晰的: lacking in clarity or brightness
[MEANING 3]v.使难以理解: to make (something) unclear to the understanding"
muffle,[MEANING 1]vt.使消声: to wrap or pad in order to deaden the sound
mulish,[MEANING 1]adj.固执的: unreasonably and inflexibly obstinate
mumble,[MEANING 1]v.说话含糊: to utter words in a low confused indistinct manner
mundane,"[MEANING 1]adj.尘世的，世俗化的: of, relating to, or typical of this world
[MEANING 2]adj.平凡的: relating to, characteristic of, or concerned with commonplaces"
munificent,[MEANING 1]adj.慷慨的: very liberal in giving
murky,"[MEANING 1]adj.黯淡的，昏暗的: being without light or without much light
[MEANING 2]adj.模糊的，晦涩的: lacking clarity or distinctness"
murmur,"[MEANING 1]n.小声的话语: a low, indistinct, continuous sound
[MEANING 2]v.低声抱怨，发牢骚: to complain in low mumbling tones; grumble"
mutate,[MEANING 1]v.(使)改变，(使)变异: to undergo or cause to undergo mutation
mute,"[MEANING 1]adj.不说话的，缄默的: deliberately refraining from speech
[MEANING 2]vt.使颜色、音调等柔和: to soften the tone, color, shade, or hue of
[MEANING 3]vt.减弱声音: to soften or muffle the sound of"
mutter,[MEANING 1]vi.低声抱怨: to murmur complainingly or angrily
myopic,[MEANING 1]adj.缺乏远见的，缺乏辨别能力的: a lack of foresight or discernment
myriad,"[MEANING 1]adj.无限的，大量的: constituting a very large, indefinite number"
nadir,[MEANING 1]n.最低点: the lowest point
naive,"[MEANING 1]adj.天真纯朴的: lacking worldly experience and understanding, simple and guileless"
narcissism,[MEANING 1]n.自恋: excessive love or admiration of oneself
nascent,[MEANING 1]adj.新生的: coming or having recently come into existence
natty,[MEANING 1]adj.整洁的，时髦的: trimly neat and tidy
nauseate,[MEANING 1]v.(使)厌恶，(使)作呕: to feel or cause to feel loathing or disgust
nautical,"[MEANING 1]adj.航海的: of, relating to, or characteristic of ships, shipping, sailors, or navigation on a body of water"
naysay,"[MEANING 1]vt.拒绝，否认: to oppose, deny, or take a pessimistic or negative view of"
nebulous,"[MEANING 1]adj.模糊的: indistinct, vague"
needy,"[MEANING 1]adj.贫困的: being in need; impoverished, poor"
nefarious,[MEANING 1]adj.极坏的，邪恶的: flagrantly wicked or impious
negation,"[MEANING 1]n.否定: the opposite or absence of something regarded as actual, positive, or affirmative"
negligent,[MEANING 1]adj.疏忽大意的: failing to give proper attention or care
negotiate,"[MEANING 1]vi.商量，谈判: to arrange or settle by discussion and mutual agreement
[MEANING 2]vi.谋划: plan out usually with subtle skill or care"
neophyte,[MEANING 1]n.初学者，新手: a beginner or novice
nerve,"[MEANING 1]n.(坚强的)意志，勇气: power of endurance or control; strength of mind to carry on in spite of danger
[MEANING 2]vt.给予勇气，鼓励: to flive strength or courage to"
nettle,[MEANING 1]vt.惹怒: to arouse to sharp but transitory annoyance or anger
neutralize,"[MEANING 1]vt.中和: to cause (an acid or base) to undergo neutralization
[MEANING 2]vt.破坏，使无效: to make inoperative or ineffective usually by means of an opposite force, influence, or effect"
nicety,"[MEANING 1]n.准确，精确: careful attention to details; delicate exactness
[MEANING 2]n.细微之处: a fine point or distinction"
nexus,"[MEANING 1]n.连结: a means of connection
[MEANING 2]n.核心，最重要的地带: a thing or place that is of greatest importance to an activity or interest"
nibble,"[MEANING 1]vt.小口咬: to eat with small, quick bites or in small morsels"
nil,[MEANING 1]n.不存在，零: nothing; zero
nip,"[MEANING 1]n.少量: a very small amount
[MEANING 2]vi.小口 吃喝: to sip (alcoholic liquor) in small amounts"
nitpick,[MEANING 1]v.吹毛求疵: to criticize by nit-picking
nocturnal,"[MEANING 1]adj.夜间的: of, relating to, or occurring in the night
[MEANING 2]adj.夜间活动的: active at night"
noisome,"[MEANING 1]adj.有害的，有毒的: noxious, harmful
[MEANING 2]adj.恶臭的: offensive to the senses and especially to the sense of smell
[MEANING 3]adj.非常令人厌恶的: highly obnoxious or objectionable"
nomad,[MEANING 1]adj./n.游牧的；居无定所的人: a member of a people who have no fixed residence but move from place to place usually seasonally and within a well-defined territory
nominal,"[MEANING 1]adj.不重要的: so small or unimportant as to warrant little or no attention
[MEANING 2]adj.名义上的: existing or being something in name or form only"
nonchalant,[MEANING 1]adj.冷漠的: having an air of easy unconcern or indifference
nondescript,[MEANING 1]adj.平凡的，不吸引人的: lacking distinctive or interesting qualities
nonentity,"[MEANING 1]n.不重要的人: a person or thing of little consequence or significance
[MEANING 2]n.虚构的东西: a conception or image created by the imagination and having no objective reality"
nonplus,"[MEANING 1]vt.迷惑，困惑: use to be at a loss as to what to say, think, or do: perplex"
nonsense,[MEANING 1]n.无意义的话，废话: words or language having no meaning or conveying no intelligible ideas
notch,"[MEANING 1]n.刻痕: a V-shaped cut. Such a cut used for keeping a record
[MEANING 2]v.通过努力获得: to obtain (as a goal) through effort"
novel,"[MEANING 1]adj.新奇的: strikingly new, unusual, or different"
noxious,"[MEANING 1]adj.有害的，有毒的: harmful to living things; injurious to health
[MEANING 2]adj.产生强烈厌恶的: causing intense displeasure, disgust, or resentment"
nuance,[MEANING 1]n.细微的差异: a subtle distinction or variation
nudge,"[MEANING 1]vt.用肘推以引起注意: to seek the attention of by a push of the elbow
[MEANING 2]vt.说服某人做某事: to try to persuade (someone) through earnest appeals to follow a course of action"
nugatory,[MEANING 1]adj.无关紧要的: of little or no consequence; inconsequential
nurture,"[MEANING 1]vt.提供营养: to supply with nourishment
[MEANING 2]vt.培育，培养: to provide (someone) with moral or spiritual understanding"
oath,"[MEANING 1] n.誓言: a solemn, formal declaration or promise to fulfill a pledge"
obdurate,"[MEANING 1]adj.固执的: resistant to persuasion or softening influences
[MEANING 2]adj.冷酷无情的: having or showing a lack of sympathy or tender feelings"
obedient,[MEANING 1]adj.服从的，顺从的: submissive to the restraint or command of authority
obeisance,[MEANING 1]n.敬礼，尊重: a movement of the body made in token of respect or submission
obfuscate,[MEANING 1]vt.使困惑，使模糊: to make so confused or opaque as to be difficult to perceive or understand
obligatory,"[MEANING 1]adj.强制性的: of the nature of an obligation; compulsory
[MEANING 2]adj.(见得多以至于)无聊的: used or heard so often as to be dull"
obliging,[MEANING 1]adj.乐于助人的: willing to do favors
oblique,[MEANING 1]adj.斜的: inclined or twisted to one side
obliterate,[MEANING 1]vt.除去: to remove from existence
oblivious,[MEANING 1]adj.不知道的，不知情的: lacking conscious awareness; not informed about or aware of something
obloquy,"[MEANING 1]n.谩骂，诽谤: abusively detractive language or utterance; calumny
[MEANING 2]n.恶名，耻辱: the state of having lost the esteem of others"
obscure,"[MEANING 1]adj.含义模糊的: not clearly understood or expressed; having an often intentionally veiled or uncertain meaning
[MEANING 2]adj.平凡的，不知名的: not prominent or famous
[MEANING 3]v.使模糊: to make dark, dim, or indistinct"
obsequious,[MEANING 1]adj.谄媚的，奴性的: marked by or exhibiting a fawning attentiveness
obsess,[MEANING 1]vt.迷住，使困扰: to haunt or excessively preoccupy the mind of
obstinate,"[MEANING 1]adj.固执的: perversely adhering to an opinion, purpose, or course in spite of reason, arguments, or persuasion
[MEANING 2]adj.难于减轻或治愈的: not easily subdued, remedied, or removed"
obstreperous,"[MEANING 1]adj.难驾驭的，任性的: stubbornly resistant to control; unruly; given to resisting authority or another's control
[MEANING 2]adj.吵闹的: engaging in or marked by loud and insistent cries especially of protest"
obstruct,"[MEANING 1]vt.妨碍，制造困难: to impede, retard, or interfere with; hinder; to create difficulty for the work or activity of
[MEANING 2]vt.阻挡: to prevent passage through by filling with something"
